,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2. Viviendas particulares ocupadas con moradores presentes por cantidad de dormitorios, según comuna.",,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,0 dormitorios,1 dormitorio,2 dormitorios,3 dormitorios,4 dormitorios,5 dormitorios,6 o más dormitorios,Cantidad de dormitorios no declarado
13,Metropolitana de Santiago,131,Santiago,13118,Macul,45.703,444,12.153,18.244,11.763,2.222,594,277,6
13,Metropolitana de Santiago,131,Santiago,13119,Maipú,162.286,339,26.122,62.562,56.970,13.033,2.466,724,70
13,Metropolitana de Santiago,131,Santiago,13120,Ñuñoa,105.990,716,38.645,40.700,22.101,3.091,516,206,15
13,Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,29.716,139,6.099,11.332,8.528,2.499,732,376,11
13,Metropolitana de Santiago,131,Santiago,13122,Peñalolén,72.642,423,13.556,24.298,23.646,7.955,1.972,777,15
13,Metropolitana de Santiago,131,Santiago,13123,Providencia,67.240,578,26.670,24.675,12.559,2.231,332,189,6
13,Metropolitana de Santiago,131,Santiago,13124,Pudahuel,70.285,159,12.234,26.976,23.127,5.863,1.294,608,24
13,Metropolitana de Santiago,131,Santiago,13125,Quilicura,63.031,134,9.160,25.494,22.528,4.707,783,218,7
13,Metropolitana de Santiago,131,Santiago,13126,Quinta Normal,43.141,813,12.225,15.685,11.138,2.225,639,405,11
13,Metropolitana de Santiago,131,Santiago,13127,Recoleta,52.071,1.082,18.019,16.903,11.113,3.250,996,695,13
13,Metropolitana de Santiago,131,Santiago,13128,Renca,43.835,169,7.880,17.976,13.538,3.113,807,349,3
13,Metropolitana de Santiago,131,Santiago,13129,San Joaquín,31.562,220,7.982,11.949,8.546,2.037,555,266,7
13,Metropolitana de Santiago,131,Santiago,13130,San Miguel,58.485,503,20.760,23.011,11.858,1.765,372,207,9
13,Metropolitana de Santiago,131,Santiago,13131,San Ramón,21.797,86,4.659,7.713,5.709,2.153,866,608,3
13,Metropolitana de Santiago,131,Santiago,13132,Vitacura,30.770,53,6.390,9.472,9.325,4.070,1.143,311,6
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,178.007,390,27.424,70.687,61.526,14.430,2.704,760,86
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,8.918,24,1.636,2.898,2.789,1.151,302,118,0
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,6.212,30,1.685,2.214,1.607,517,120,36,3
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,49.951,112,7.664,17.159,15.848,6.417,2.109,631,11
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,44.627,159,8.654,16.801,14.620,3.475,687,228,3
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,6.431,19,1.629,2.404,1.820,458,79,22,0
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,95.042,213,17.062,38.020,29.861,7.550,1.580,746,10
13,Metropolitana de Santiago,134,Maipo,13402,Buin,36.671,87,6.412,13.739,12.455,3.082,657,235,4
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,7.683,2,1.453,2.552,2.228,1.005,311,131,1
