,,,,,,,,,,
,,,,,,,,,,
"4. Población censada por sexo y razón hombre-mujer, según grupos de edad quinquenal y comuna.",,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Grupos de edad,Población censada,Hombres,Mujeres,Razón hombre-mujer
4,Coquimbo,41,Elqui,4103,Andacollo,60 a 64,786,397,389,"102,1"
4,Coquimbo,41,Elqui,4103,Andacollo,65 a 69,608,319,289,"110,4"
4,Coquimbo,41,Elqui,4103,Andacollo,70 a 74,486,241,245,"98,4"
4,Coquimbo,41,Elqui,4103,Andacollo,75 a 79,371,172,199,"86,4"
4,Coquimbo,41,Elqui,4103,Andacollo,80 a 84,266,112,154,"72,7"
4,Coquimbo,41,Elqui,4103,Andacollo,85 o más,222,98,124,"79,0"
4,Coquimbo,41,Elqui,4104,La Higuera,Total Comuna,4.335,2.299,2.036,"112,9"
4,Coquimbo,41,Elqui,4104,La Higuera,0 a 4,204,117,87,"134,5"
4,Coquimbo,41,Elqui,4104,La Higuera,5 a 9,267,142,125,"113,6"
4,Coquimbo,41,Elqui,4104,La Higuera,10 a 14,310,160,150,"106,7"
4,Coquimbo,41,Elqui,4104,La Higuera,15 a 19,290,150,140,"107,1"
4,Coquimbo,41,Elqui,4104,La Higuera,20 a 24,295,165,130,"126,9"
4,Coquimbo,41,Elqui,4104,La Higuera,25 a 29,271,135,136,"99,3"
4,Coquimbo,41,Elqui,4104,La Higuera,30 a 34,251,132,119,"110,9"
4,Coquimbo,41,Elqui,4104,La Higuera,35 a 39,255,119,136,"87,5"
4,Coquimbo,41,Elqui,4104,La Higuera,40 a 44,260,144,116,"124,1"
4,Coquimbo,41,Elqui,4104,La Higuera,45 a 49,294,153,141,"108,5"
4,Coquimbo,41,Elqui,4104,La Higuera,50 a 54,288,154,134,"114,9"
4,Coquimbo,41,Elqui,4104,La Higuera,55 a 59,303,161,142,"113,4"
4,Coquimbo,41,Elqui,4104,La Higuera,60 a 64,264,136,128,"106,3"
4,Coquimbo,41,Elqui,4104,La Higuera,65 a 69,286,170,116,"146,6"
