,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2. Viviendas censadas por tipo de vivienda, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas censadas,Casa con acceso directo desde la calle,Casa en condominio cerrado,Departamento en edificio con ascensor,Departamento en edificio sin ascensor,Vivienda tradicional indígena (ruka u otras),Pieza en casa antigua o conventillo,"Mediagua, mejora, vivienda de emergencia, rancho o choza","Móvil (carpa, casa rodante o similar)",Otro tipo de vivienda particular,Viviendas Colectivas
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,10.439,9.518,84,7,691,2,56,33,1,42,5
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,2.863,2.627,143,0,0,0,0,5,1,86,1
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,6.746,6.568,29,1,0,0,7,25,1,103,12
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,6.090,5.670,129,1,237,2,0,8,0,41,2
5,Valparaíso,58,Marga Marga,5801,Quilpué,66.020,43.329,6.551,3.852,11.059,11,32,869,72,196,49
5,Valparaíso,58,Marga Marga,5802,Limache,24.683,16.463,4.257,11,3.601,9,22,202,9,87,22
5,Valparaíso,58,Marga Marga,5803,Olmué,10.530,9.338,1.055,4,3,0,8,56,1,64,1
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,55.220,37.568,6.650,1.228,9.472,10,38,107,1,117,29
13,Metropolitana de Santiago,131,Santiago,13101,Santiago,239.265,20.784,7.655,177.714,19.497,26,12.766,77,50,603,93
13,Metropolitana de Santiago,131,Santiago,13102,Cerrillos,31.656,19.678,2.208,3.120,6.057,6,279,155,3,129,21
13,Metropolitana de Santiago,131,Santiago,13103,Cerro Navia,40.088,34.585,306,23,4.405,5,471,164,7,115,7
13,Metropolitana de Santiago,131,Santiago,13104,Conchalí,38.829,30.573,458,1.324,5.331,8,945,31,3,142,14
13,Metropolitana de Santiago,131,Santiago,13105,El Bosque,50.351,37.710,2.819,482,8.802,9,227,51,45,184,22
13,Metropolitana de Santiago,131,Santiago,13106,Estación Central,76.025,24.784,1.391,37.623,8.327,20,3.573,78,6,190,33
13,Metropolitana de Santiago,131,Santiago,13107,Huechuraba,31.102,17.325,7.224,4.494,1.672,3,76,225,8,70,5
13,Metropolitana de Santiago,131,Santiago,13108,Independencia,50.346,13.189,2.189,26.139,5.334,17,3.299,23,3,115,38
13,Metropolitana de Santiago,131,Santiago,13109,La Cisterna,41.616,18.085,1.236,16.254,5.481,5,400,22,12,85,36
13,Metropolitana de Santiago,131,Santiago,13110,La Florida,143.650,76.541,16.410,31.009,18.586,29,278,390,14,327,66
13,Metropolitana de Santiago,131,Santiago,13111,La Granja,36.699,29.749,624,725,5.347,4,157,13,1,66,13
13,Metropolitana de Santiago,131,Santiago,13112,La Pintana,53.031,43.695,1.082,19,7.950,7,28,41,12,177,20
