,,,,,,,,,,
,,,,,,,,,,
"6. Número de viviendas particulares ocupadas con moradores presentes por cantidad de hogares, según comuna.",,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas con 1 hogar,Viviendas con 2 hogares,Viviendas con 3 hogares,Viviendas con 4 o más hogares
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,4.634,4.570,56,7,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,4.767,4.691,62,10,4
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,7.063,6.908,130,21,4
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,4.698,4.563,117,16,2
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,21.814,21.377,368,57,12
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,9.631,9.450,161,19,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,17.267,16.806,396,50,15
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,7.642,7.551,86,5,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,1.784,1.760,22,1,1
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,3.349,3.294,52,2,1
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,3.249,3.207,34,5,3
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,3.628,3.586,38,4,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,2.829,2.803,24,2,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,26.879,26.512,323,37,7
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,5.393,5.276,103,11,3
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,13.000,12.760,210,25,5
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,2.838,2.783,52,2,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,6.274,6.072,165,35,2
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,4.341,4.243,90,6,2
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,4.408,4.343,55,8,2
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,3.231,3.184,41,5,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,1.752,1.731,18,2,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,14.412,14.082,273,38,19
7,Maule,71,Talca,7101,Talca,82.742,81.094,1.271,282,95
7,Maule,71,Talca,7102,Constitución,17.374,17.224,131,13,6
7,Maule,71,Talca,7103,Curepto,3.749,3.711,37,1,0
7,Maule,71,Talca,7104,Empedrado,1.458,1.453,5,0,0
7,Maule,71,Talca,7105,Maule,20.162,19.958,178,19,7
7,Maule,71,Talca,7106,Pelarco,3.191,3.140,46,5,0
7,Maule,71,Talca,7107,Pencahue,3.387,3.356,28,3,0
7,Maule,71,Talca,7108,Río Claro,5.054,4.979,74,1,0
7,Maule,71,Talca,7109,San Clemente,16.376,16.129,222,20,5
7,Maule,71,Talca,7110,San Rafael,3.884,3.846,37,1,0
7,Maule,72,Cauquenes,7201,Cauquenes,16.032,15.884,138,10,0
7,Maule,72,Cauquenes,7202,Chanco,3.434,3.389,39,6,0
7,Maule,72,Cauquenes,7203,Pelluhue,3.450,3.420,28,0,2
7,Maule,73,Curicó,7301,Curicó,55.895,54.742,962,142,49
7,Maule,73,Curicó,7302,Hualañé,4.002,3.947,49,4,2
7,Maule,73,Curicó,7303,Licantén,2.615,2.569,41,5,0
7,Maule,73,Curicó,7304,Molina,16.943,16.635,269,32,7
7,Maule,73,Curicó,7305,Rauco,3.999,3.934,59,4,2
7,Maule,73,Curicó,7306,Romeral,5.997,5.901,82,9,5
7,Maule,73,Curicó,7307,Sagrada Familia,6.653,6.583,64,5,1
7,Maule,73,Curicó,7308,Teno,10.548,10.391,140,14,3
7,Maule,73,Curicó,7309,Vichuquén,1.875,1.859,15,1,0
7,Maule,74,Linares,7401,Linares,34.636,34.215,379,35,7
7,Maule,74,Linares,7402,Colbún,8.137,8.061,71,4,1
7,Maule,74,Linares,7403,Longaví,11.818,11.656,149,11,2
7,Maule,74,Linares,7404,Parral,16.856,16.693,150,11,2
7,Maule,74,Linares,7405,Retiro,8.153,8.090,61,2,0
7,Maule,74,Linares,7406,San Javier,17.851,17.668,164,15,4
7,Maule,74,Linares,7407,Villa Alegre,6.611,6.555,50,5,1
7,Maule,74,Linares,7408,Yerbas Buenas,6.998,6.909,81,8,0
16,Ñuble,161,Diguillín,16101,Chillán,68.623,67.463,987,145,28
16,Ñuble,161,Diguillín,16102,Bulnes,8.668,8.575,86,5,2
16,Ñuble,161,Diguillín,16103,Chillán Viejo,11.522,11.337,158,24,3
16,Ñuble,161,Diguillín,16104,El Carmen,4.966,4.925,40,1,0
16,Ñuble,161,Diguillín,16105,Pemuco,3.207,3.177,26,3,1
16,Ñuble,161,Diguillín,16106,Pinto,4.714,4.659,51,3,1
16,Ñuble,161,Diguillín,16107,Quillón,7.432,7.346,81,5,0
16,Ñuble,161,Diguillín,16108,San Ignacio,6.533,6.453,74,5,1
16,Ñuble,161,Diguillín,16109,Yungay,7.238,7.170,65,3,0
16,Ñuble,162,Itata,16201,Quirihue,4.586,4.533,50,3,0
16,Ñuble,162,Itata,16202,Cobquecura,2.276,2.251,22,2,1
16,Ñuble,162,Itata,16203,Coelemu,5.555,5.482,63,10,0
16,Ñuble,162,Itata,16204,Ninhue,2.296,2.285,10,1,0
16,Ñuble,162,Itata,16205,Portezuelo,2.019,1.997,19,2,1
16,Ñuble,162,Itata,16206,Ránquil,2.586,2.560,23,3,0
16,Ñuble,162,Itata,16207,Trehuaco,2.317,2.299,17,1,0
16,Ñuble,163,Punilla,16301,San Carlos,20.385,20.129,235,17,4
16,Ñuble,163,Punilla,16302,Coihueco,10.350,10.241,100,9,0
16,Ñuble,163,Punilla,16303,Ñiquén,4.869,4.822,44,2,1
16,Ñuble,163,Punilla,16304,San Fabián,2.007,1.992,15,0,0
16,Ñuble,163,Punilla,16305,San Nicolás,5.364,5.290,70,4,0
8,Biobío,81,Concepción,8101,Concepción,87.967,85.093,2.236,491,147
8,Biobío,81,Concepción,8102,Coronel,41.296,40.759,496,33,8
8,Biobío,81,Concepción,8103,Chiguayante,28.849,28.382,421,40,6
8,Biobío,81,Concepción,8104,Florida,4.920,4.890,28,2,0
8,Biobío,81,Concepción,8105,Hualqui,8.712,8.615,92,4,1
8,Biobío,81,Concepción,8106,Lota,13.579,13.370,193,15,1
8,Biobío,81,Concepción,8107,Penco,16.513,16.229,258,21,5
8,Biobío,81,Concepción,8108,San Pedro de La paz,51.652,51.094,501,50,7
8,Biobío,81,Concepción,8109,Santa Juana,5.547,5.499,42,5,1
8,Biobío,81,Concepción,8110,Talcahuano,49.475,48.268,1.031,139,37
8,Biobío,81,Concepción,8111,Tomé,20.311,19.954,321,29,7
8,Biobío,81,Concepción,8112,Hualpén,29.763,29.053,628,63,19
8,Biobío,82,Arauco,8201,Lebu,8.678,8.591,78,7,2
8,Biobío,82,Arauco,8202,Arauco,12.983,12.808,152,19,4
8,Biobío,82,Arauco,8203,Cañete,12.430,12.335,90,5,0
8,Biobío,82,Arauco,8204,Contulmo,2.271,2.254,17,0,0
8,Biobío,82,Arauco,8205,Curanilahue,10.989,10.890,93,5,1
8,Biobío,82,Arauco,8206,Los Álamos,7.926,7.869,55,2,0
8,Biobío,82,Arauco,8207,Tirúa,3.579,3.554,23,1,1
8,Biobío,83,Biobío,8301,Los Ángeles,77.467,76.639,730,68,30
8,Biobío,83,Biobío,8302,Antuco,1.701,1.680,21,0,0
8,Biobío,83,Biobío,8303,Cabrero,11.261,11.140,114,7,0
8,Biobío,83,Biobío,8304,Laja,8.459,8.366,85,6,2
8,Biobío,83,Biobío,8305,Mulchén,9.970,9.807,142,16,5
8,Biobío,83,Biobío,8306,Nacimiento,9.107,8.995,100,12,0
8,Biobío,83,Biobío,8307,Negrete,3.721,3.683,35,3,0
8,Biobío,83,Biobío,8308,Quilaco,1.707,1.688,18,1,0
8,Biobío,83,Biobío,8309,Quilleco,3.537,3.498,33,6,0
8,Biobío,83,Biobío,8310,San Rosendo,1.307,1.292,15,0,0
8,Biobío,83,Biobío,8311,Santa Bárbara,5.143,5.079,59,3,2
8,Biobío,83,Biobío,8312,Tucapel,6.142,6.111,28,3,0
8,Biobío,83,Biobío,8313,Yumbel,8.827,8.765,61,1,0
8,Biobío,83,Biobío,8314,Alto Biobío,2.006,1.983,23,0,0
9,La Araucanía,91,Cautín,9101,Temuco,108.912,107.562,1.166,148,36
9,La Araucanía,91,Cautín,9102,Carahue,9.030,8.975,50,5,0
9,La Araucanía,91,Cautín,9103,Cunco,7.281,7.241,38,1,1
9,La Araucanía,91,Cautín,9104,Curarrehue,2.888,2.871,16,1,0
9,La Araucanía,91,Cautín,9105,Freire,9.637,9.563,68,5,1
9,La Araucanía,91,Cautín,9106,Galvarino,4.478,4.442,35,1,0
9,La Araucanía,91,Cautín,9107,Gorbea,5.528,5.474,53,1,0
9,La Araucanía,91,Cautín,9108,Lautaro,14.705,14.601,99,3,2
9,La Araucanía,91,Cautín,9109,Loncoche,9.512,9.459,50,3,0
9,La Araucanía,91,Cautín,9110,Melipeuco,2.609,2.596,11,2,0
9,La Araucanía,91,Cautín,9111,Nueva Imperial,12.012,11.919,90,2,1
9,La Araucanía,91,Cautín,9112,Padre Las Casas,27.469,27.254,198,13,4
9,La Araucanía,91,Cautín,9113,Perquenco,2.734,2.726,8,0,0
9,La Araucanía,91,Cautín,9114,Pitrufquén,10.139,10.039,87,13,0
9,La Araucanía,91,Cautín,9115,Pucón,12.372,12.216,139,15,2
9,La Araucanía,91,Cautín,9116,Saavedra,4.889,4.856,29,4,0
9,La Araucanía,91,Cautín,9117,Teodoro Schmidt,6.019,5.992,26,0,1
9,La Araucanía,91,Cautín,9118,Toltén,3.827,3.797,30,0,0
9,La Araucanía,91,Cautín,9119,Vilcún,11.166,11.108,54,3,1
9,La Araucanía,91,Cautín,9120,Villarrica,24.839,24.554,259,22,4
9,La Araucanía,91,Cautín,9121,Cholchol,4.519,4.491,26,2,0
9,La Araucanía,92,Malleco,9201,Angol,18.950,18.716,207,21,6
9,La Araucanía,92,Malleco,9202,Collipulli,8.654,8.549,102,1,2
9,La Araucanía,92,Malleco,9203,Curacautín,7.073,7.044,29,0,0
9,La Araucanía,92,Malleco,9204,Ercilla,2.764,2.742,21,1,0
9,La Araucanía,92,Malleco,9205,Lonquimay,3.739,3.715,24,0,0
9,La Araucanía,92,Malleco,9206,Los Sauces,2.690,2.665,24,1,0
9,La Araucanía,92,Malleco,9207,Lumaco,3.387,3.374,12,1,0
9,La Araucanía,92,Malleco,9208,Purén,4.482,4.452,27,3,0
9,La Araucanía,92,Malleco,9209,Renaico,3.776,3.728,39,8,1
9,La Araucanía,92,Malleco,9210,Traiguén,6.958,6.893,62,3,0
9,La Araucanía,92,Malleco,9211,Victoria,12.362,12.269,83,10,0
14,Los Ríos,141,Valdivia,14101,Valdivia,61.524,60.296,1.032,150,46
14,Los Ríos,141,Valdivia,14102,Corral,2.112,2.094,17,1,0
14,Los Ríos,141,Valdivia,14103,Lanco,6.364,6.307,53,3,1
14,Los Ríos,141,Valdivia,14104,Los Lagos,7.841,7.778,59,4,0
14,Los Ríos,141,Valdivia,14105,Máfil,2.925,2.902,22,1,0
14,Los Ríos,141,Valdivia,14106,Mariquina,8.134,8.050,79,5,0
14,Los Ríos,141,Valdivia,14107,Paillaco,7.225,7.161,60,3,1
14,Los Ríos,141,Valdivia,14108,Panguipulli,13.181,13.053,122,6,0
14,Los Ríos,142,Ranco,14201,La Unión,14.460,14.349,105,4,2
14,Los Ríos,142,Ranco,14202,Futrono,5.728,5.695,33,0,0
14,Los Ríos,142,Ranco,14203,Lago Ranco,4.065,4.042,21,2,0
14,Los Ríos,142,Ranco,14204,Río Bueno,12.833,12.744,80,6,3
10,Los Lagos,101,Llanquihue,10101,Puerto Montt,98.794,97.656,973,128,37
10,Los Lagos,101,Llanquihue,10102,Calbuco,13.345,13.284,57,4,0
10,Los Lagos,101,Llanquihue,10103,Cochamó,1.881,1.876,4,1,0
10,Los Lagos,101,Llanquihue,10104,Fresia,4.836,4.819,17,0,0
10,Los Lagos,101,Llanquihue,10105,Frutillar,8.081,8.012,61,7,1
10,Los Lagos,101,Llanquihue,10106,Los Muermos,6.627,6.599,26,2,0
10,Los Lagos,101,Llanquihue,10107,Llanquihue,6.095,6.000,82,10,3
10,Los Lagos,101,Llanquihue,10108,Maullín,5.940,5.920,20,0,0
10,Los Lagos,101,Llanquihue,10109,Puerto Varas,18.779,18.509,224,34,12
10,Los Lagos,102,Chiloé,10201,Castro,17.730,17.569,142,18,1
10,Los Lagos,102,Chiloé,10202,Ancud,15.566,15.468,94,4,0
10,Los Lagos,102,Chiloé,10203,Chonchi,6.308,6.266,37,5,0
10,Los Lagos,102,Chiloé,10204,Curaco de Vélez,1.418,1.413,5,0,0
10,Los Lagos,102,Chiloé,10205,Dalcahue,5.590,5.571,18,1,0
10,Los Lagos,102,Chiloé,10206,Puqueldón,1.546,1.537,8,1,0
10,Los Lagos,102,Chiloé,10207,Queilén,2.226,2.215,11,0,0
10,Los Lagos,102,Chiloé,10208,Quellón,10.757,10.663,87,6,1
10,Los Lagos,102,Chiloé,10209,Quemchi,3.361,3.350,10,1,0
10,Los Lagos,102,Chiloé,10210,Quinchao,3.004,2.997,7,0,0
10,Los Lagos,103,Osorno,10301,Osorno,61.741,61.016,668,43,14
10,Los Lagos,103,Osorno,10302,Puerto Octay,3.310,3.275,31,4,0
10,Los Lagos,103,Osorno,10303,Purranque,7.190,7.085,97,7,1
10,Los Lagos,103,Osorno,10304,Puyehue,4.373,4.343,29,1,0
10,Los Lagos,103,Osorno,10305,Río Negro,5.221,5.175,44,2,0
10,Los Lagos,103,Osorno,10306,San Juan de la Costa,3.329,3.319,9,1,0
10,Los Lagos,103,Osorno,10307,San Pablo,4.155,4.118,37,0,0
10,Los Lagos,104,Palena,10401,Chaitén,1.664,1.654,9,0,1
10,Los Lagos,104,Palena,10402,Futaleufú,1.326,1.319,7,0,0
10,Los Lagos,104,Palena,10403,Hualaihué,3.692,3.676,15,1,0
10,Los Lagos,104,Palena,10404,Palena,862,856,6,0,0
