,,,,,,,,,,,
,,,,,,,,,,,
"2. Población censada por tramo de edad e índice de envejecimiento, según sexo y comuna.",,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Sexo,Población censada,0-14,15-64,65 años o más,Índice de envejecimiento
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,Hombre,5.696,1.080,3.636,980,"90,7"
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,Mujer,5.412,1.054,3.447,911,"86,4"
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,Total Comuna,76.429,14.473,52.079,9.877,"68,2"
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,Hombre,37.488,7.359,25.784,4.345,"59,0"
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,Mujer,38.941,7.114,26.295,5.532,"77,8"
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,Total Comuna,37.497,7.528,24.958,5.011,"66,6"
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,Hombre,18.347,3.856,12.199,2.292,"59,4"
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,Mujer,19.150,3.672,12.759,2.719,"74,0"
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,Total Comuna,39.274,7.507,26.615,5.152,"68,6"
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,Hombre,19.401,3.829,13.140,2.432,"63,5"
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,Mujer,19.873,3.678,13.475,2.720,"74,0"
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,Total Comuna,81.243,17.481,55.983,7.779,"44,5"
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,Hombre,39.781,8.997,27.362,3.422,"38,0"
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,Mujer,41.462,8.484,28.621,4.357,"51,4"
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,Total Comuna,94.402,17.745,64.609,12.048,"67,9"
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,Hombre,45.612,8.994,31.461,5.157,"57,3"
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,Mujer,48.790,8.751,33.148,6.891,"78,7"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,Total Comuna,257.744,45.782,176.099,35.863,"78,3"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,Hombre,125.172,23.374,86.488,15.310,"65,5"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,Mujer,132.572,22.408,89.611,20.553,"91,7"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,Total Comuna,13.955,2.515,9.426,2.014,"80,1"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,Hombre,6.885,1.241,4.675,969,"78,1"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,Mujer,7.070,1.274,4.751,1.045,"82,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,Total Comuna,7.916,1.333,5.136,1.447,"108,6"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,Hombre,3.906,686,2.505,715,"104,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,Mujer,4.010,647,2.631,732,"113,1"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,Total Comuna,21.373,3.867,14.060,3.446,"89,1"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,Hombre,10.653,1.974,7.021,1.658,"84,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,Mujer,10.720,1.893,7.039,1.788,"94,5"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,Total Comuna,21.925,4.064,14.540,3.321,"81,7"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,Hombre,10.706,2.024,7.120,1.562,"77,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,Mujer,11.219,2.040,7.420,1.759,"86,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,Total Comuna,35.938,7.131,24.431,4.376,"61,4"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,Hombre,17.613,3.640,11.997,1.976,"54,3"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,Mujer,18.325,3.491,12.434,2.400,"68,7"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,Total Comuna,27.554,4.932,18.155,4.467,"90,6"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,Hombre,13.900,2.519,9.151,2.230,"88,5"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,Mujer,13.654,2.413,9.004,2.237,"92,7"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,Total Comuna,60.875,12.811,41.349,6.715,"52,4"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,Hombre,29.507,6.546,19.946,3.015,"46,1"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,Mujer,31.368,6.265,21.403,3.700,"59,1"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,Total Comuna,13.882,2.348,9.106,2.428,"103,4"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,Hombre,6.950,1.193,4.557,1.200,"100,6"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,Mujer,6.932,1.155,4.549,1.228,"106,3"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,Total Comuna,27.394,5.128,18.306,3.960,"77,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,Hombre,13.521,2.589,9.011,1.921,"74,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,Mujer,13.873,2.539,9.295,2.039,"80,3"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,Total Comuna,13.901,2.478,9.342,2.081,"84,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,Hombre,6.870,1.239,4.653,978,"78,9"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,Mujer,7.031,1.239,4.689,1.103,"89,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,Total Comuna,14.243,2.433,9.450,2.360,"97,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,Hombre,7.115,1.250,4.739,1.126,"90,1"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,Mujer,7.128,1.183,4.711,1.234,"104,3"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,Total Comuna,20.363,3.458,13.191,3.714,"107,4"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,Hombre,10.152,1.769,6.527,1.856,"104,9"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,Mujer,10.211,1.689,6.664,1.858,"110,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,Total Comuna,13.558,2.283,9.068,2.207,"96,7"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,Hombre,6.648,1.139,4.448,1.061,"93,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,Mujer,6.910,1.144,4.620,1.146,"100,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,Total Comuna,63.620,12.203,42.621,8.796,"72,1"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,Hombre,30.925,6.216,20.690,4.019,"64,7"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,Mujer,32.695,5.987,21.931,4.777,"79,8"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,Total Comuna,29.508,5.620,20.010,3.878,"69,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,Hombre,14.588,2.875,9.866,1.847,"64,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,Mujer,14.920,2.745,10.144,2.031,"74,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,Total Comuna,49.559,8.485,32.542,8.532,"100,6"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,Hombre,24.340,4.421,15.943,3.976,"89,9"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,Mujer,25.219,4.064,16.599,4.556,"112,1"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,Total Comuna,19.847,3.565,13.018,3.264,"91,6"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,Hombre,9.744,1.805,6.363,1.576,"87,3"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,Mujer,10.103,1.760,6.655,1.688,"95,9"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,Total Comuna,4.609,728,2.938,943,"129,5"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,Hombre,2.343,363,1.506,474,"130,6"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,Mujer,2.266,365,1.432,469,"128,5"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,Total Comuna,8.852,1.543,5.632,1.677,"108,7"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,Hombre,4.443,791,2.801,851,"107,6"
